File,Model,Field Name,Field Type,Options
amscheckout/models.py,Checkout,ticket_id,CharField,"{'max_length': 100, 'unique': True}"
amscheckout/models.py,Checkout,asset_id,IntegerField,"{'null': True, 'blank': True}"
amscheckout/models.py,Checkout,asset_name,CharField,{'max_length': 255}
amscheckout/models.py,Checkout,subject,CharField,{'max_length': 255}
amscheckout/models.py,Checkout,description,CharField,{'max_length': 255}
amscheckout/models.py,Checkout,requestor,CharField,{'max_length': 100}
amscheckout/models.py,Checkout,requestor_location,CharField,{'max_length': 255}
amscheckout/models.py,Checkout,requestor_id,IntegerField,"{'null': True, 'blank': True}"
amscheckout/models.py,Checkout,checkout_date,DateField,"{'null': True, 'blank': True}"
amscheckout/models.py,Checkout,checkin_date,DateField,"{'null': True, 'blank': True}"
amscheckout/models.py,Checkout,return_date,DateField,"{'null': True, 'blank': True}"
amscheckout/models.py,Checkout,is_resolved,BooleanField,{'default': False}
amscheckout/models.py,Checkout,checkout_ref_id,CharField,"{'max_length': 100, 'default': '1', 'null': True, 'blank': True}"
amscheckout/models.py,Checkout,created_at,DateTimeField,{'auto_now_add': True}
amscheckout/models.py,Checkout,updated_at,DateTimeField,{'auto_now': True}
amscheckout/models.py,Checkout,condition,IntegerField,"{'default': 1, 'null': True, 'blank': True}"
audit/models.py,AuditEvent,ACTION_CHOICES,Unknown,{}
audit/models.py,AuditEvent,user_id,IntegerField,"{'null': True, 'blank': True, 'help_text': 'ID of user who performed action'}"
audit/models.py,AuditEvent,username,CharField,"{'max_length': 255, 'null': True, 'blank': True, 'help_text': 'Username for audit trail'}"
audit/models.py,AuditEvent,email,EmailField,"{'null': True, 'blank': True, 'help_text': 'Email of user who performed action'}"
audit/models.py,AuditEvent,action,CharField,"{'max_length': 100, 'choices': 'ACTION_CHOICES', 'help_text': 'Type of action performed'}"
audit/models.py,AuditEvent,content_type,ForeignKey,"{'null': True, 'blank': True, 'on_delete': 'models.SET_NULL', 'help_text': 'Content type of the object being audited'}"
audit/models.py,AuditEvent,object_id,PositiveIntegerField,"{'null': True, 'blank': True}"
audit/models.py,AuditEvent,content_object,Unknown,{}
audit/models.py,AuditEvent,target_type,CharField,"{'max_length': 100, 'null': True, 'blank': True, 'help_text': ""Model name (e.g., 'Workflow', 'Step')""}"
audit/models.py,AuditEvent,target_id,IntegerField,"{'null': True, 'blank': True, 'help_text': 'ID of object being audited'}"
audit/models.py,AuditEvent,changes,JSONField,"{'null': True, 'blank': True, 'help_text': 'Structured JSON describing what changed (old vs new values)'}"
audit/models.py,AuditEvent,description,TextField,"{'null': True, 'blank': True, 'help_text': 'Human-readable description of the change'}"
audit/models.py,AuditEvent,timestamp,DateTimeField,"{'auto_now_add': True, 'db_index': True}"
audit/models.py,AuditEvent,ip_address,GenericIPAddressField,"{'null': True, 'blank': True}"
audit/models.py,AuditEvent,user_agent,TextField,"{'null': True, 'blank': True}"
audit/models.py,AuditLog,user_id,IntegerField,"{'null': True, 'blank': True}"
audit/models.py,AuditLog,username,CharField,"{'max_length': 255, 'null': True, 'blank': True}"
audit/models.py,AuditLog,action,CharField,{'max_length': 255}
audit/models.py,AuditLog,entity_type,CharField,"{'max_length': 100, 'null': True, 'blank': True}"
audit/models.py,AuditLog,entity_id,IntegerField,"{'null': True, 'blank': True}"
audit/models.py,AuditLog,details,JSONField,"{'null': True, 'blank': True}"
audit/models.py,AuditLog,timestamp,DateTimeField,"{'auto_now_add': True, 'db_index': True}"
bmscheckout/models.py,Project,ticket_id,CharField,"{'max_length': 100, 'default': 'TK-000'}"
bmscheckout/models.py,Project,is_approved,BooleanField,{'default': False}
role/models.py,Roles,role_id,IntegerField,{'primary_key': True}
role/models.py,Roles,name,CharField,"{'max_length': 64, 'unique': True}"
role/models.py,Roles,system,CharField,"{'max_length': 50, 'default': 'tts'}"
role/models.py,RoleUsers,role_id,ForeignKey,"{'on_delete': 'models.CASCADE', 'to_field': 'role_id', 'db_column': 'role_id'}"
role/models.py,RoleUsers,user_id,IntegerField,{}
role/models.py,RoleUsers,user_full_name,CharField,"{'max_length': 255, 'blank': True, 'default': ''}"
role/models.py,RoleUsers,is_active,BooleanField,{'default': True}
role/models.py,RoleUsers,assigned_at,DateTimeField,{'auto_now_add': True}
role/models.py,RoleUsers,settings,JSONField,"{'default': 'dict', 'blank': True}"
step/models.py,Steps,step_id,AutoField,"{'primary_key': True, 'unique': True}"
step/models.py,Steps,workflow_id,ForeignKey,"{'on_delete': 'models.CASCADE', 'to_field': 'workflow_id'}"
step/models.py,Steps,role_id,ForeignKey,"{'on_delete': 'models.PROTECT', 'to_field': 'role_id'}"
step/models.py,Steps,escalate_to,ForeignKey,"{'on_delete': 'models.PROTECT', 'to_field': 'role_id', 'related_name': 'escalation_steps', 'null': True, 'blank': False, 'help_text': 'Role to escalate to when step times out or is escalated', 'default': None}"
step/models.py,Steps,name,CharField,{'max_length': 64}
step/models.py,Steps,description,CharField,"{'max_length': 256, 'null': True}"
step/models.py,Steps,instruction,TextField,"{'null': True, 'blank': True}"
step/models.py,Steps,order,PositiveIntegerField,{'default': 0}
step/models.py,Steps,weight,DecimalField,"{'max_digits': 4, 'decimal_places': 2, 'default': 0.5}"
step/models.py,Steps,design,JSONField,"{'default': 'dict', 'blank': True, 'help_text': 'Store design coordinates {x, y} for frontend positioning'}"
step/models.py,Steps,is_initialized,BooleanField,{'default': False}
step/models.py,Steps,is_start,BooleanField,{'default': False}
step/models.py,Steps,is_end,BooleanField,{'default': False}
step/models.py,Steps,created_at,DateTimeField,{'auto_now_add': True}
step/models.py,Steps,updated_at,DateTimeField,{'auto_now': True}
step/models.py,StepTransition,transition_id,AutoField,"{'primary_key': True, 'unique': True}"
step/models.py,StepTransition,workflow_id,ForeignKey,"{'unique': False, 'on_delete': 'models.CASCADE', 'to_field': 'workflow_id', 'null': True}"
step/models.py,StepTransition,from_step_id,ForeignKey,"{'related_name': 'outgoing_transitions', 'on_delete': 'models.CASCADE', 'null': True, 'blank': True, 'to_field': 'step_id'}"
step/models.py,StepTransition,to_step_id,ForeignKey,"{'related_name': 'incoming_transitions', 'on_delete': 'models.CASCADE', 'null': True, 'blank': True, 'to_field': 'step_id'}"
step/models.py,StepTransition,name,CharField,"{'max_length': 64, 'null': True, 'blank': True}"
step/models.py,StepTransition,design,JSONField,"{'default': 'dict', 'blank': True, 'help_text': 'Store handles for frontend connections {source_handle, target_handle}'}"
step/models.py,StepTransition,created_at,DateTimeField,{'auto_now_add': True}
step/models.py,StepTransition,updated_at,DateTimeField,{'auto_now': True}
task/models.py,Task,task_id,AutoField,"{'primary_key': True, 'unique': True}"
task/models.py,Task,ticket_id,ForeignKey,{'on_delete': 'models.CASCADE'}
task/models.py,Task,workflow_id,ForeignKey,{'on_delete': 'models.CASCADE'}
task/models.py,Task,workflow_version,ForeignKey,"{'on_delete': 'models.SET_NULL', 'null': True, 'blank': True, 'related_name': 'tasks', 'help_text': 'The specific version of the workflow used for this task'}"
task/models.py,Task,current_step,ForeignKey,"{'on_delete': 'models.SET_NULL', 'null': True, 'blank': True, 'to_field': 'step_id'}"
task/models.py,Task,status,CharField,"{'max_length': 36, 'choices': 'TASK_STATUS_CHOICES', 'default': 'pending', 'help_text': 'Current status of the task'}"
task/models.py,Task,created_at,DateTimeField,{'auto_now_add': True}
task/models.py,Task,updated_at,DateTimeField,{'auto_now': True}
task/models.py,Task,fetched_at,DateTimeField,"{'null': True, 'blank': True}"
task/models.py,Task,target_resolution,DateTimeField,"{'null': True, 'blank': True, 'help_text': 'Target date and time for task resolution'}"
task/models.py,Task,resolution_time,DateTimeField,"{'null': True, 'blank': True, 'help_text': 'Actual date and time when the task was resolved'}"
task/models.py,TaskItem,task_item_id,AutoField,"{'primary_key': True, 'unique': True}"
task/models.py,TaskItem,task,ForeignKey,{'on_delete': 'models.CASCADE'}
task/models.py,TaskItem,role_user,ForeignKey,"{'on_delete': 'models.CASCADE', 'help_text': 'Link to RoleUsers for user and role info'}"
task/models.py,TaskItem,transferred_to,ForeignKey,"{'on_delete': 'models.SET_NULL', 'null': True, 'blank': True, 'related_name': 'transferred_task_items', 'help_text': 'User this task was transferred to'}"
task/models.py,TaskItem,transferred_by,IntegerField,"{'null': True, 'blank': True, 'help_text': 'User ID of the admin who transferred this task'}"
task/models.py,TaskItem,origin,CharField,"{'max_length': 50, 'choices': 'TASK_ITEM_ORIGIN_CHOICES', 'default': 'System', 'help_text': 'Origin of this assignment: System (auto-assigned), Transferred (admin transfer), or Escalation'}"
task/models.py,TaskItem,notes,TextField,"{'blank': True, 'help_text': 'Notes provided during action transition'}"
task/models.py,TaskItem,assigned_on,DateTimeField,"{'auto_now_add': True, 'help_text': 'When this assignment was created'}"
task/models.py,TaskItem,target_resolution,DateTimeField,"{'null': True, 'blank': True, 'help_text': 'Target date and time for task resolution'}"
task/models.py,TaskItem,resolution_time,DateTimeField,"{'null': True, 'blank': True, 'help_text': 'Actual date and time when the task was resolved'}"
task/models.py,TaskItem,acted_on,DateTimeField,"{'null': True, 'blank': True}"
task/models.py,TaskItem,assigned_on_step,ForeignKey,"{'on_delete': 'models.SET_NULL', 'null': True, 'blank': True, 'to_field': 'step_id', 'help_text': 'The step where this task item was assigned'}"
task/models.py,TaskItemHistory,task_item_history_id,AutoField,"{'primary_key': True, 'unique': True}"
task/models.py,TaskItemHistory,task_item,ForeignKey,"{'on_delete': 'models.CASCADE', 'related_name': 'taskitemhistory_set'}"
task/models.py,TaskItemHistory,status,CharField,"{'max_length': 50, 'choices': 'TASK_ITEM_STATUS_CHOICES', 'help_text': 'Status at this point in history'}"
task/models.py,TaskItemHistory,created_at,DateTimeField,"{'auto_now_add': True, 'help_text': 'When this history record was created'}"
tickets/models.py,RoundRobin,role_name,CharField,"{'max_length': 255, 'unique': True, 'db_index': True}"
tickets/models.py,RoundRobin,current_index,IntegerField,{'default': 0}
tickets/models.py,RoundRobin,created_at,DateTimeField,{'auto_now_add': True}
tickets/models.py,RoundRobin,updated_at,DateTimeField,{'auto_now': True}
tickets/models.py,TicketSnapshot,ticket_number,CharField,"{'max_length': 64, 'db_index': True}"
tickets/models.py,TicketSnapshot,fetched_at,DateTimeField,{'auto_now_add': True}
tickets/models.py,TicketSnapshot,ticket_data,JSONField,{}
tickets/models.py,WorkflowTicket,ticket_number,CharField,"{'max_length': 64, 'db_index': True}"
tickets/models.py,WorkflowTicket,fetched_at,DateTimeField,{'auto_now_add': True}
tickets/models.py,WorkflowTicket,ticket_data,JSONField,{}
tickets/models.py,WorkflowTicket,is_task_allocated,BooleanField,{'default': False}
tickets/models.py,WorkflowTicket,created_at,DateTimeField,{'auto_now_add': True}
tickets/models.py,WorkflowTicket,updated_at,DateTimeField,{'auto_now': True}
tickets/models.py,WorkflowTicket,ticket_id,CharField,"{'max_length': 20, 'blank': True, 'null': True}"
tickets/models.py,WorkflowTicket,original_ticket_id,CharField,"{'max_length': 20, 'db_index': True, 'blank': True, 'null': True}"
tickets/models.py,WorkflowTicket,source_service,CharField,"{'max_length': 50, 'default': 'ticket_service', 'db_index': True}"
tickets/models.py,WorkflowTicket,status,CharField,"{'max_length': 20, 'db_index': True, 'blank': True, 'null': True}"
tickets/models.py,WorkflowTicket,department,CharField,"{'max_length': 100, 'db_index': True, 'blank': True, 'null': True}"
tickets/models.py,WorkflowTicket,priority,CharField,"{'max_length': 20, 'default': 'Medium', 'db_index': True, 'blank': True, 'null': True, 'choices': [('Low', 'Low'), ('Medium', 'Medium'), ('High', 'High'), ('Critical', 'Critical')]}"
workflow/models.py,Category,category_id,AutoField,"{'primary_key': True, 'unique': True}"
workflow/models.py,Category,name,CharField,"{'max_length': 64, 'unique': True}"
workflow/models.py,Category,parent,ForeignKey,"{'null': True, 'blank': True, 'related_name': 'subcategories', 'on_delete': 'models.CASCADE', 'to_field': 'category_id'}"
workflow/models.py,Workflows,user_id,IntegerField,{'null': False}
workflow/models.py,Workflows,name,CharField,"{'max_length': 64, 'unique': True}"
workflow/models.py,Workflows,description,CharField,"{'max_length': 256, 'null': True}"
workflow/models.py,Workflows,workflow_id,AutoField,"{'primary_key': True, 'unique': True}"
workflow/models.py,Workflows,end_logic,CharField,"{'max_length': 32, 'choices': 'END_LOGIC_CHOICES', 'blank': True, 'help_text': 'Optional end‐condition to trigger when workflow completes.'}"
workflow/models.py,Workflows,category,CharField,{'max_length': 64}
workflow/models.py,Workflows,sub_category,CharField,{'max_length': 64}
workflow/models.py,Workflows,department,CharField,{'max_length': 64}
workflow/models.py,Workflows,is_published,BooleanField,{'default': False}
workflow/models.py,Workflows,status,CharField,"{'max_length': 16, 'choices': 'STATUS_CHOICES', 'default': 'draft'}"
workflow/models.py,Workflows,low_sla,DurationField,"{'null': True, 'blank': True, 'help_text': 'SLA for low priority'}"
workflow/models.py,Workflows,medium_sla,DurationField,"{'null': True, 'blank': True, 'help_text': 'SLA for medium priority'}"
workflow/models.py,Workflows,high_sla,DurationField,"{'null': True, 'blank': True, 'help_text': 'SLA for high priority'}"
workflow/models.py,Workflows,urgent_sla,DurationField,"{'null': True, 'blank': True, 'help_text': 'SLA for urgent priority'}"
workflow/models.py,Workflows,created_at,DateTimeField,{'auto_now_add': True}
workflow/models.py,Workflows,updated_at,DateTimeField,{'auto_now': True}
workflow/models.py,WorkflowVersion,workflow,ForeignKey,"{'related_name': 'versions', 'on_delete': 'models.CASCADE'}"
workflow/models.py,WorkflowVersion,version,PositiveIntegerField,{}
workflow/models.py,WorkflowVersion,created_at,DateTimeField,{'auto_now_add': True}
workflow/models.py,WorkflowVersion,definition,JSONField,"{'help_text': 'Full workflow graph structure: nodes, edges, metadata'}"
workflow/models.py,WorkflowVersion,is_active,BooleanField,"{'default': True, 'help_text': 'Indicates if this is the active version for the workflow'}"
